name,brief_description,value,eligibility,deadline,field_of_study,application_instructions,official_scholarship_website,id,level
Hispanic Scholarship Fund,The College Scholarship Program is available on a competitive basis to graduate students of Hispanic heritage.,"$500-5,000",U.S. Citizen/Permanent Resident + Racial/Ethnic Specifier(s),March,Missing data,Self-Nominated,http://www.hsf.net/innercontent.aspx?id=34,XDjWPTOkOoC,Master's/PhD
Horizons Fellowship,**Deadline varies by program**The Horizons Fellowship supports outstanding university students in their pursuit to become tomorrow's leaders in technology.,The fellowship covers all tuition and housing costs for an immersive program,U.S. Citizen/Permanent Resident + Racial/Ethnic Specifier(s),Varies,Missing data,Self-Nominated,http://www.joinhorizons.com/fellowship,MR5JBxeCvJ2,Master's
Howard Hughes Medical Institute International Student Research Fellowship,"Requires Faculty/Administration nomination
**Will not have competition in 2017** This fellowship program supports outstanding international predoctoral students studying in the United States who are ineligible for fellowships or training grants through U.S. federal agencies. Participation is by invitation only. Nominated students must be in their second or third year of study to apply for the fellowship. To activate the fellowship, students must be in the third or fourth year of a PhD program at one of the designated institutions.","Annual stipend of $43,000, plus an educational allowance for three years which is applied to tuition.",Foreign Citizen/Foreign National/International,nan,Missing data,Faculty/Administration,http://www.hhmi.org/grants/individuals/intl_fellows.html,kOAf7Df0s4L,PhD
http://www.google.com/anitaborg/us/,"**Application for 2018 will open Fall 2017.** Dr. Anita Borg devoted her adult life to revolutionizing the way we think about technology and dismantling barriers that keep women and minorities from entering computing and technology fields. Her combination of technical expertise and fearless vision continues to inspire and motivate countless women to become active participants and leaders in creating technology. In her honor, Google is proud to honor Anita's memory and support women in technology with the Google Anita Borg Memorial Scholarship. Google hopes to encourage women to excel in computing and technology and become active role models and leaders in the field.
",10000,No specifications,nan,Missing data,Self-Nominated,http://www.google.com/anitaborg/us/,Zpx7QJPdZpJ,Master's/PhD
IBM Ph.D Fellowship Awards Program,"Requires Faculty/Administration nomination
Honors exceptional Ph.D. students with interest in areas including business, science and related technical fields such as autonomic computing, nanotechnology. Students must be nominated by faculty.","$17,500 plus tuition, fees for one year, IBM Thinkpad",No specifications,October,Missing data,Faculty/Administration,http://www.research.ibm.com/university/awards/phdfellowship.shtml,Sk4DGqnfRde,PhD
Innovative Signal Analysis (ISA) Fellowship,"Minimum GPA: 3.25. Innovative Signal Analysis (ISA) is pleased to announce that it is offering a $4,000 Fellowship grant to a graduate student in the Electrical Engineering Computer Science Departments to be awarded in 2016. As before, once student data has been delivered, ISA Management will review each application and select winners in the early December timeframe. ",4000,U.S. Citizen,September,Missing data,Self-Nominated,https://drive.google.com/a/umich.edu/file/d/0B_UwFRkfAs5FOUFhSFJrSlROSXM/view?usp=sharing,eNqOH0lEBA7,Master's/PhD
Institute of Electrical and Electronics Engineers (IEEE) Fellowship in Electrical History,"The IEEE Fellowship in Electrical History supports either one year of full-time graduate work in the history of electrical science and technology at a college or university of recognized standing, or up to one year of post-doctoral research for a scholar in this field who has received their Ph.D. within the past three years. Must be a member of IEEE to apply.","Stipend of $17,000 and a research budget of $3,000 is available",No specifications,February,Missing data,Self-Nominated,http://www.ieee.org/membership_services/membership/students/awards/index.html,lBAS6qVIZ12,Master's/PhD
International Institute Conference Travel Grants (University of Michigan Fellowship),"**Rolling Deadline** Provide opportunities for Rackham graduate students to become familiar with, and take part in the life of their academic professions. Awards are available only to Rackham students who have responded to a formal call for abstracts and whose abstract has been accepted for either poster or paper presentation at a conference. ",Up to $300,No specifications,Rolling,Missing data,Self-Nominated,http://www.ii.umich.edu/ii/fellowshipsandgrants/graduate/internationalinstituteconferencetravelgrants_ci,AKc1FimMei0,Master's/PhD
International Institute Individual Fellowships (University of Michigan Fellowship),The International Institute (II) Fellowships are designed to support University of Michigan students (regardless of citizenship) who are enrolled in a degree program and wish to participate in internships or conduct research abroad.,"Up to $5,000",No specifications,February,Missing data,Self-Nominated,http://www.ii.umich.edu/ii/fellowshipsandgrants/internationalinstituteindividualfellowshipsiiif_ci,Rwjy3dYQHtH,Master's/PhD
International Society for Optical Engineering (SPIE) Scholarships and Grants,"Scholarships are granted to students who are enrolled full-time in optics, photonics, imaging, optoelectronics, or a related program.","$2,500-$10,000",No specifications,February,Missing data,Self-Nominated,http://spie.org/x7236.xml,WvXxxYKUeG4,Master's/PhD
John von Neumann Fellowship,"The John von Neumann Postdoctoral Research Fellowship in Computational Science offers an exceptional opportunity to conduct innovative research in computational mathematics and scientific computing on advanced computing architectures. The Fellowship is a one-year appointment with a possible renewal for a second year. It offers a highly competitive salary, moving expenses, and a generous professional travel allowance. Von Neumann Fellows are supported by the Applied Mathematics program, which is part of the U.S. Department of Energy's Office of Advanced Scientific Computing Research.",Varies,No specifications,December,Missing data,Self-Nominated,http://www.sandia.gov/careers/students_postdocs/fellowships/johnvonneumann_fellowship.html,YUkKySwfo8G,PhD
Joseph L. Fisher Doctoral Dissertation Fellowships,"RFF’s primary research disciplines are economics and other social sciences, and proposals originating in these fields will have the greatest likelihood of success. Proposals from the physical or biological sciences must have an immediate and obvious link to environmental policy matters.",18000,No specifications,February,Missing data,Self-Nominated,http://www.rff.org/about/joseph-l-fisher-doctoral-dissertation-fellowships,gpeD6raB5xa,PhD
Kosciuszko Foundation Tuition Scholarship Program,"**Applications for 2018 will be available Fall 2017** Scholarships support American students of Polish descent for full-time graduate studies in the United States, the one-year Master's program at the Center for European Studies, Jagiellonian University, Cracow, and English Schools of Medicine in Poland.","$1,000-7,000",U.S. Citizen/Permanent Resident + Racial/Ethnic Specifier(s),January,Missing data,Self-Nominated,http://www.thekf.org/scholarships/tuition/ts/,4RuQkRu5WQl,Master's/PhD
L'Oreal Women in Science Fellowship,"The L’Oréal USA For Women in Science fellowship program awards five women postdoctoral scientists annually with grants of $60,000 each for their contributions in Science, Technology, Engineering and Math (STEM) fields and commitment to serving as role models for younger generations. The program is the U.S. component of the L'Oréal-UNESCO For Women in Science International Fellowships program. Celebrating its thirteenth year in the U.S., the For Women in Science program has awarded 65 postdoctoral women scientists over $3 million in grants.",60000,U.S. Citizen/U.S. National/Permanent Resident,February,Missing data,Self-Nominated,http://www.lorealusa.com/csr-commitments/the-l%E2%80%99or%C3%A9al-corporate-foundation/science/l%E2%80%99or%C3%A9al-usa-for-women-in-science-program,dlKBksBgeAq,Postdoc
LANL-African American Partner Program,"Los Alamos National Laboratory (LANL) is pleased to issue this call for African American Partner Program (AAPP) Graduate Internships. LANL would like to invite African American graduate students to join its workforce and apply their STEM talents to solving problems of national interest. The goal of these graduate internships is to kick-start the development of long-term relationships between the Laboratory and outstanding students and their universities, while assisting students toward completion of their degrees and furthering research interests. Students will receive in-depth and committed mentoring from experienced LANL Principle Investigators (PIs). The next Call for Applications is planned for 2017.","$48,000-63,000 annually",U.S. Citizen/Permanent Resident + Racial/Ethnic Specifier(s),March,Missing data,Self-Nominated,https://lanl.gov/careers/diversity-inclusion/african-american-partner-program/index.php,9urbE21ytgA,Master's/PhD
Link Foundation Doctoral Research Fellowships in Ocean Engineering and Instrumentation,"To foster ocean engineering and ocean instrumentation research; to enhance both the theoretical and practical knowledge and applications of ocean engineering and instrumentation research; and to disseminate the results of that research through lectures, seminars and publications.","$28,500",No specifications,February,Missing data,Self-Nominated,http://www.linkoe.org/,9etLKf4DKEu,PhD
Link Foundation Energy Fellowships,Preference will be given to candidates who have a well-defined thesis direction but who still have enough time remaining working toward their Ph.D. that receipt of a Link Foundation Fellowship could make a difference.,"$28,500 annually for two years",No specifications,December,Missing data,Self-Nominated,http://www.linkenergy.org/guidelines.html,GBBLgsy9W1Q,PhD
Luce Scholars Program,"The Luce Scholars Program provides stipends and internships for fifteen young Americans to live and work in Asia each year. Dating from 1974, the program's purpose is to increase awareness of Asia among future leaders in American society. Students must be nominated by College.","In addition to the basic stipend, a cost of living allowance and a housing allowance may be provided to Scholars living in areas where such costs are high.",U.S. Citizen,October,Missing data,Self-Nominated,http://www.hluce.org/lsprogram.aspx,hjwFR0Aguq2,Master's/PhD/Postdoc
MAES Scholarships,"You must be a MAES members
",Varies,No specifications,April,Missing data,Self-Nominated,http://mymaes.org/program-item/maes-scholarships/,8x3H9HmX7NM,Master's/PhD
Michigan Council of Women in Technology MCWT Scholarship,"Offers scholarships to students in graduate school. Total possible award is $15,000","$5,000 annually, up to 2 years",Missing data,January,Missing data,Self-Nominated,http://www.mcwt.org/Scholarships_196.html,DLWssKOIN80,Master's/PhD
Michigan Department of Civil Rights,"**Rolling Deadline** Michigan Indian Tuition Waiver applications are processed by the Department of Civil Rights. 
To be eligible:
You must qualify for admission at one of Michigan's public colleges or universities AND
You must be ¼ or more Native American blood quantum as certified by your Tribal Enrollment Department AND
You must be an enrolled citizen of a U.S. Federally Recognized Tribe as certified by your Tribal Enrollment Department AND
You must be a legal resident of the state of Michigan for not less than 12 consecutive months.",Cost of Tuition,U.S. Citizen/Permanent Resident + Racial/Ethnic Specifier(s),Rolling,Missing data,Self-Nominated,"https://www.michigan.gov/mdcr/0,1607,7-138--240889--,00.html",HlB2aYWnL67,Master's/PhD
Michigan Space Grant Consortium (MSGC) (University of Michigan Fellowship),"For students in aerospace, space science, Earth System science and other related science, engineering or mathematical fields.","$5,000",U.S. Citizen,November,Missing data,Self-Nominated,http://mi.spacegrant.org/index.php?page=fellowship-guidelines,XuG1gVe57Qz,Master's/PhD
Microsoft Research Graduate Women’s Scholarship,"Requires Faculty/Administration nomination
**Application Deadline Varies**The Microsoft Research Graduate Women’s Scholarship is a one-year scholarship program for outstanding women graduate students and is designed to help increase the number of women pursuing a PhD. This program supports women in the second year of their graduate studies. Women who are interested in this scholarship must apply during first year of graduate studies. Scholarships are granted by Microsoft Research at the discretion of Microsoft.","$20,000",No specifications,Varies,Missing data,Faculty/Administration,https://www.microsoft.com/en-us/research/academic-program/womens-fellowship-program/,gdSczGnHaPD,Master's/PhD
Microsoft Research PhD Fellowship Program,"Requires Faculty/Administration nomination
The Microsoft Research PhD Fellowship is a two-year fellowship program for outstanding PhD students nominated by their universities. To be eligible for this fellowship, you must apply during your second or third year of PhD studies. Fellowships are granted by Microsoft Research at the discretion of Microsoft.",Missing data,No specifications,October,Missing data,Faculty/Administration,"https://www.microsoft.com/en-us/research/academic-program/phd-fellowship-program/""_blank"">Website</a>",mNz3hpQwHia,PhD
Minorities Striving and Pursuing Higher Degrees of Success in Earth System Science,**Last known update: September 2014**. For underrepresented minorities with the overall purpose of facilitating the achievement of attaining outstanding Earth system science careers.,"$1,000",U.S. Citizen/U.S. National/Permanent Resident,nan,Missing data,Self-Nominated,http://www.msphds.org/overview.aspx,xzQb2vCNC1q,PhD
NASA Aeronautics Scholarship Program,"**Last known update in 2015**NASA's Aeronautics Research Mission Directorate (ARMD) is directed toward enhancing the state of aeronautics for the nation, transforming the nation's air transportation system, and developing the knowledge, tools, and technologies to support future air and space vehicles.","$35,000 stipend annually for two years, up to $11,000 for tuition, or up to $10,000 for summer internship",U.S. Citizen/U.S. National/Permanent Resident,nan,Missing data,Self-Nominated,https://www.nasa.gov/offices/education/programs/descriptions/NASA_Aeronautics_Scholarship_Program.html,cRP1B3jkowi,Master's/PhD
NASA Graduate Student Researchers Project,"The project offers competitive fellowships to U.S. citizens who are pursuing graduate degrees at the Masters and Doctoral levels, at U. S. accredited colleges and universities in areas of science and engineering that support the NASA research and development mission. GSRP and other NASA Office of Education fellowship opportunities can be found via the NASA One Stop Shopping Initiative (OSSI) online application system at: http://intern.nasa.gov",Not listed,U.S. Citizen,March,Missing data,Self-Nominated,"https://intern.nasa.gov/ossi/web/public/main/index.cfm?solarAction=view&subAction=content&contentCode=HOME_PAGE_INTERNSHIPS""_blank"">Website</a>",PeBvUAlWVfe,Master's/PhD
NASA Harriett G. Jenkins Predoctoral Fellowship Project (JPFP),"The JPFP aims to increase the U.S. talent pool of underrepresented groups, including women, ethnic minorities, and persons with disabilities who receive Master's and Doctoral degrees participating in the STEM workforce.","Ph.D. Fellows - $24,000 (annually), Master's Fellows - $18,000 (annually), $8500 Tuition Offset (Ph.D. and Master's Fellows), $8000 for 10 week research experience ",U.S. Citizen,October,Missing data,Self-Nominated,"http://www.uncfsp.org/cms/index.cfm?page=program.view&areaid=12&contentid=893&typeid=jpfp""_blank"">Website</a>",CFgh9r3fM2L,Master's/PhD
National Consortium for Graduate Degrees for Minorities in Engineering and Science (GEM),For under-represented minorities. There are multiple fellowships for both Masters' and PhD students.,"$16,000 stipend in the first academic year, provides a living stipend up to the 5th year of PhD program, minimum of one paid summer internship with a GEM Employer Member, full tuition and fees at a GEM University Member",U.S. Citizen/U.S. National/Permanent Resident,November,Missing data,Self-Nominated,http://www.gemfellowship.org/gem-fellowship,krFYmaz1GLY,Master's/PhD
National Defense Industrial Association (NDIA) Lawrence F. Skibbie Graduate Scholarship Award,"Intended to support one or more advanced graduate students in engineering, science, or management.","Up to $10,000",U.S. Citizen,nan,Missing data,Self-Nominated,http://www.ndia.org/MembershipAndChapters/MemberServices/Pages/Scholarship_Award.aspx,nSnpzYz8pBu,Master's/PhD
National Defense Science and Engineering Graduate Fellowship (NDSEG),"Graduate Students who will pursue a doctoral degree in, or closely related to, an area of DoD interest within one of the following disciplines: Aeronautical and Astronautical Engineering, Biosciences, Chemical Engineering, Chemistry, Civil Engineering, Cognitive, Neural and Behavioral Sciences, Computer and Computational Sciences, Electrical Engineering, Geosciences, Materials Science and Engineering, Mathematics, Mechanical Engineering, Naval Architecture and Ocean Engineering, Oceanography, Physics.","Full tuition and required fees for 3 years, monthly stipend, and up to $1,000 a year in medical insurance",U.S. Citizen,December,Missing data,Self-Nominated,http://ndseg.asee.org/,7av8djqaYak,PhD
National Physical Science Consortium (NPSC),"Graduate Fellowships in the Physical Sciences (and Engineering). Special emphasis toward the recruitment of minority and female students. Students can be in their first year of study. Do some work at some National Laboratories, or Amgen.","$20,000 stipend per year up to six years plus two summers paid research employment and travel",U.S. Citizen,December,Missing data,Self-Nominated,http://www.npsc.org/Applicants/Applicants/fellowshipinfo.html,OABdrAHP1iu,Master's/PhD
National Research Council of the National Academies Research Associateship Program,Awardees have the opportunity to conduct independent research in an area compatible with the interests of the sponsoring laboratory; develop full-time effort to research a publication; and collaborate with leading scientists and engineers at federal research laboratories.,"Ph.D: $35,000 stipend; Graduate: begin at $30,000 stipend",U.S. Citizen/U.S. National/Permanent Resident,November,Missing data,Self-Nominated,http://www.national-academies.org/rap,IL53WkmQ8kE,Master's/PhD
National Science Foundation (NSF) Graduate Research Fellowship Program (GRFP),"The program recognizes and supports outstanding graduate students who are pursuing research-based master's and doctoral degrees in science, technology, engineering, and mathematics (STEM) or in STEM education. The GRFP provides three years of support for the graduate education of individuals who have demonstrated their potential for significant research achievements in STEM or STEM education. NSF especially encourages women, members of underrepresented minority groups, persons with disabilities, veterans, and undergraduate seniors to apply.","Stipend of $30,000/year, plus education coverage of $10,500 for up to three years, and a 1-time $1,000 travel allowance for research abroad",U.S. Citizen/U.S. National/Permanent Resident,October,Missing data,Self-Nominated,http://www.nsf.gov/pubs/2016/nsf16588/nsf16588.htm,Z7aA154Z4qb,Master's/PhD
National Security Education Program (NSEP) David L. Boren Graduate Fellowships,Graduate students may design their own programs and may combine domestic language and cultural study with overseas study. All fellowships must include formal study of a modern language other than English and study of an area and culture.,"Maximum level of support of $12,000/semester for up to two semesters; total maximum level of support for combined domestic and overseas program is $24,000",U.S. Citizen,January,Missing data,Self-Nominated,https://www.borenawards.org/boren_fellowship/basics.html,OiWxRouheW6,Master's/PhD
Naval Research Laboratory (NRL) Postdoctoral Fellowship Program,ROLLING DEADLINE: The program is designed to significantly increase the involvement of creative and highly trained scientists and engineers from academia and industry to scientific and technical areas of interest and relevance to the Navy.,Varies,U.S. Citizen,Rolling,Missing data,Self-Nominated,http://nrl.asee.org/,zuAR5mECu4k,Postdoc
NOAA National Estuarine Research Reserve System (NERRS) Graduate Research Fellowship (GRF),NERRS' Graduate Research Fellowship provides master's degree students and Ph.D. candidates with an opportunity to conduct research of local and national significance that focuses on enhancing coastal zone management. Fellows conduct their research within a National Estuarine Research Reserve and gain hands-on experience by participating in their host reserve's research and monitoring programs.,Not listed,No specifications,nan,Missing data,Self-Nominated,http://nerrs.noaa.gov/Fellowship.aspx,TtSg0JaLMpX,Master's/PhD
NOAA Sea Grant Knauss Marine Policy Fellowships,"Offer a unique educational experience for students who have an interest in ocean, coastal, or Great Lakes resources and the national policy decisions affecting those resources. The one-year fellowships match graduate students with ""hosts"" in the legislative or executive branches, or other institutions located in Washington, D.C.","Fellowships are awarded for one year with a $45,000 student stipend and $9,000 for health insurance. Additional funds available for travel, etc. (overall award is $56,000).",No specifications,February,Missing data,Self-Nominated,http://seagrant.noaa.gov/FundingFellowships/KnaussFellowship.aspx,irppcAxpAON,Master's/PhD
Oak Ridge Institute for Science & Education Graduate Scholarships,Missing data,Not listed,No specifications,nan,Missing data,Self-Nominated,http://orise.orau.gov/science-education/internships-scholarships-fellowships/graduates.aspx,b7FLwZP5uOC,Master's/PhD
Office of Financial Aid University of Michigan,Missing data,Varies,No specifications,rolling,Missing data,Self-Nominated,https://finaid.umich.edu/,z11RVCk6fvh,Master's/PhD
Pathways to Science (Doctoral Fellowships),"The organization's mission is to increase diversity in science, technology, engineering, and mathematics (STEM). Offers a wide array of funding sources for Doctoral students in the STEM fields.",Varies,No specifications,Varies,Missing data,Self-Nominated,http://pathwaystoscience.org/programs.aspx?u=GradPhDs_Graduate+Students+%28PhD%29&r=&s=&i=&sa=either&p=YesPortable&o=either&c=either&f=&dd=&ft=&submit=y&adv=adv,gPATOwASUcC,PhD
Pathways to Science (Master's Fellowships),"The organization's mission is to increase diversity in science, technology, engineering, and mathematics (STEM). Offers a wide array of funding sources for Master's degree students in the STEM fields.",Varies,No specifications,Varies,Missing data,Self-Nominated,http://pathwaystoscience.org/programs.aspx?u=GradMasters_Graduate+Students+%28Masters%29&r=&s=&i=&sa=either&p=YesPortable&o=either&c=either&f=&dd=&ft=&submit=y&adv=adv,E4bF9pyqgTU,Master's
Patricia F. Waller Scholarship,"The Patricia F. Waller Scholarship was created to honor Dr. Waller’s many contributions to the field of transportation safety and injury control. The scholarship is intended to fund University of Michigan graduate students and senior undergraduate students who elect a curriculum, thesis, or special project that address the human impact of transportation practice. Students may represent from all U-M departments and schools who are interested in conducting research on human aspects of transportation safety and issues related to transportation equity.",Varies,No specifications,nan,Missing data,Self-Nominated,"http://www.umtri.umich.edu/patricia-f-waller-scholarship""_blank"">Website</a>",KT5UMUJRQc9,Master's
Paul and Daisy Soros Fellowships for New Americans,The purpose of The Paul & Daisy Soros Fellowships for New Americans is to provide opportunities for continuing generations of able and accomplished New Americans to achieve leadership in their chosen fields. The Program was established in recognition of the contributions New Americans have made to American life and in gratitude for the opportunities the United States has afforded the donors and their family.,"Each award is for up to $25,000 in maintenance grants and up to $20,000 in tuition support for each year of graduate study supported, a total of as much as $90,000 (2 years max).",U.S. Citizen/U.S. National/Permanent Resident,November,Missing data,Self-Nominated,https://www.pdsoros.org/,36shhc9JRsH,Master's/PhD
PEO International Peace Scholarship,The International Peace Scholarship Fund is a program which provides scholarships for selected women from other countries for graduate study in the United States and Canada.,"Up to $12,500",Foreign Citizen/Foreign National/International,December,Missing data,Self-Nominated,http://www.peointernational.org/about-peo-international-peace-scholarship-ips,PSmglGUSNzW,Missing data
Phi Kappa Phi Graduate Fellowships,"The Honor Society of Phi Kappa Phi currently awards fifty-one Fellowships of $5,000 each and six at $15,000 each to members entering the first year of graduate or professional study. Applicants must apply through their local chapter. Chapter deadlines vary, typically two weeks prior to the national deadline. Check with your chapter.","$5,000 or $15,000",No specifications,April,Missing data,Self-Nominated,http://www.phikappaphi.org/grants-awards/fellowship#.VvQcEuIrLct,5swep90ieUy,Master's/PhD
Point Foundation Scholarship,"Point Foundation (Point) is the nation’s largest higher education scholarship-granting organization for lesbian, gay, bisexual, transgender, and queer (LGBTQ) students. Point’s multifaceted support of its scholarship recipients (“scholars”) extends far beyond direct financial contribution toward the cost of their education. Each scholar is paired with a mentor and participates in leadership development programs and events.",Varies,No specifications,January,Missing data,Self-Nominated,https://www.pointfoundation.org/thepoint/scholarship/,PJz7ANuridT,Master's/PhD
ProQuest Distinguished Dissertation Awards,"Requires Faculty/Administration nomination
The ProQuest Distinguished Dissertation Awards recognize highly accomplished graduate students who have produced exceptional dissertations of outstanding scholarly quality in any field of study.","$1,000",No specifications,November,Missing data,Faculty/Administration,http://www.rackham.umich.edu/faculty-staff/awards/student-funding/distinguished-dissertation-awards,x2xrJkf7nWF,PhD
Rackham Barbour Scholarship (University of Michigan Fellowship),"Scholarships for Asian women (""From Turkey to Japan and the Philippines"") who have completed at least two terms of graduate work at the University of Michigan prior to award tenure.","$19,690 stipend, plus cover full tuition and required fees",Foreign Citizen/Foreign National/International,January,Missing data,Self-Nominated,http://www.rackham.umich.edu/funding/barbour,qLGEfsRolKK,Master's/PhD
Rackham Conference Travel Grant (University of Michigan Funding),"Rolling Deadline: Intended to provide opportunities for Rackham graduate students to become familiar with, and participate in the life of, their academic professions.","$800-1,300 depending on travel location",No specifications,Rolling,Missing data,Self-Nominated,http://www.rackham.umich.edu/funding/from_rackham/student_application/rackham_conference_travel_grant/,ulloSdM8DyQ,Master's/PhD
Rackham Engineering Awards (REA) and Rackham Science Awards (RSA) (University of Michigan Fellowship),"Requires Faculty/Administration nomination
For underrepresented students in the Physical Science or Engineering fields.","$9,690 stipend per semester",U.S. Citizen,February,Missing data,Faculty/Administration,http://www.rackham.umich.edu/funding/from_rackham/student_application/rackham_merit_fellowship/,Gh9BiD9eHSF,Master's/PhD
Rackham Graduate Student Emergency Fund (RGS-EF) (University of Michigan Fellowship),Rolling Deadline: The Rackham Emergency Fund is intended to provide Rackham graduate students who find themselves in emergency situations with financial assistance.,"Up to $2,500",No specifications,Rolling,Missing data,Self-Nominated,http://www.rackham.umich.edu/funding/from_rackham/student_application/graduate_student_emergency_funds/,aOH7PCxW71Y,Master's/PhD
Rackham Graduate Student Research Grants (RGS-RG) (University of Michigan Fellowship),Rolling Deadline: The Rackham Graduate Student Research Grants are intended to provide Rackham graduate students with financial assistance in carrying out research that will lead to advances toward their degree.,"Master's and pre-doctoral candidates: up to $1,500; doctoral candidates: up to $3,000",No specifications,Rolling,Missing data,Self-Nominated,http://www.rackham.umich.edu/funding/from_rackham/student_application/graduate_student_research_grant/,cEHoYCpasYO,Master's/PhD
Rackham Harold and Vivian Shapiro/John Malik/Jean Forrest Awards (University of Michigan Fellowship),To assist with interest payments on the unsubsidized educational loans that students are obligated to pay while still in graduate school.,"Up to $2,000",U.S. Citizen/U.S. National/Permanent Resident,October,Missing data,Self-Nominated,http://www.rackham.umich.edu/funding/from_rackham/student_application/shapiro_malik_forrest/,jfOCPmsbvQa,Master's/PhD
Rackham International Research Awards (University of Michigan Fellowship),Support doctoral students conducting degree-related research outside North America.,"Up to $10,000",No specifications,February,Missing data,Self-Nominated,http://www.rackham.umich.edu/funding/from_rackham/student_application/international_research_awards/,l3wFjrDFLif,Master's/PhD
Rackham International Student Fellowship and the Chia-Lun Lo Fellowship (University of Michigan Fellowship),"Requires Faculty/Administration nomination
Available to assist outstanding international students, especially those who may be ineligible for other kinds of support because of citizenship. Students must be nominated by their department, and in their second or third year of study. Each department may nominate no more than two students.","$10,000",Foreign Citizen/Foreign National/International,October,Missing data,Faculty/Administration,http://www.rackham.umich.edu/prospective-students/funding/nomination-allocation/chia-lun-lo-fellowship,8j9mY0pOf1A,Master's/PhD
"Rackham King-Chavez-Parks Initiative, Future Faculty Fellowship (University of Michigan Fellowship)","Rolling Deadline: For underrepresented minorities in a doctoral program, who are Michigan residents, and plan to teach in post secondary education in Michigan or Illinois.","Up to $20,000 for Master's and $35,000 for PhD",U.S. Citizen/U.S. National/Permanent Resident,Rolling,Missing data,Self-Nominated,http://www.rackham.umich.edu/funding/from_rackham/student_application/king_chavez_parks/,1jBiWjGpWqG,Master's/PhD
Rackham Lurcy Fellowship for Study in France (University of Michigan Fellowship),"The Georges Lurcy Charitable and Educational Trust seeks to promote friendship and understanding between the peoples of the United States and France, and secondarily between Americans and Europeans in general. This is achieved by supporting scholarly activities and exchanges which allow members of one society to learn more about the people and civilization of the other society.","$25,000",U.S. Citizen,October,Missing data,Self-Nominated,http://www.rackham.umich.edu/funding/from_rackham/student_application/lurcy_fellowship/,od0QUYL67K1,Master's/PhD
Rackham Merit Fellowship (RMF) Program for PhD and Master's (University of Michigan Fellowship),"Requires Faculty/Administration nomination
The RMF is competitive and recognizes entering students who have outstanding academic qualifications, show exceptional potential for scholarly success in their graduate program, and demonstrate promise for contributing to wider academic, professional, or civic communities. Graduate students do not apply directly for the RMF, but are nominated by faculty in their graduate program.","The RMF for doctoral students is a five-year funding partnership between Rackham and the graduate program that includes tuition, stipend, health and dental coverage, during each fall and winter term, with select summer stipend and benefits. The RMF for master’s students provides tuition, stipend, health and dental coverage during the semester of the awardNot li",U.S. Citizen/U.S. National/Permanent Resident,February,Missing data,Faculty/Administration,http://www.rackham.umich.edu/funding/from_rackham/student_application/rackham_merit_fellowship/,jMAKMjHbsZ4,Master's/PhD
Rackham Non-Traditional Fellowships (University of Michigan Fellowship),"Requires Faculty/Administration nomination
To aid Michigan Residents who wish to return to graduate school after an extended absence and where the interruption in schooling may have placed them at a disadvantage in competing with more traditional students for financial assistance awarded at the time of admission.",One term of tuition and associated fees,No specifications,October,Missing data,Faculty/Administration,http://www.rackham.umich.edu/funding/from_rackham/program_nomination_or_allocation/non-traditional_fellowships/,OerG0FlO0oO,Master's
Rackham One Term Dissertation Fellowship (University of Michigan Fellowship),"Requires Faculty/Administration nomination
Intended to speed the process of completing the dissertation. Except in unusual cases, they should be awarded to students who are at the writing stage of the dissertation. This will permit candidates to work full-time on the final stages of their dissertations.","Candidacy tuition and registration fee plus a stipend of $9,500 for one term. Recipients will be eligible for GradCare health insurance coverage provided by the Graduate School during the term of their award",No specifications,May,Missing data,Faculty/Administration,http://www.rackham.umich.edu/funding/from_rackham/program_nomination_or_allocation/one_term_dissertation_fellowship/,rt1k1yUUfYT,PhD
Rackham Predoctoral Fellowship Program (University of Michigan Fellowship),"Requires Faculty/Administration nomination
Awarded to outstanding students who will complete the dissertation in the year in which they hold the fellowship and who will complete the doctorate within six years of beginning their programs.","Stipend of $32,000 (currently), candidacy tuition and required fees for twelve months. GradCare health and dental insurance will be provided during the fellowship period",No specifications,January,Missing data,Faculty/Administration,http://www.rackham.umich.edu/funding/from_rackham/program_nomination_or_allocation/predoctoral_fellowship_program/,bHVm5Ghg3hg,PhD
"Rackham Susan Lipschutz, Margaret Ayers Host and Anna Olcott Smith Awards for Women Graduate Students (University of Michigan Fellowship)","Requires Faculty/Administration nomination
For women actively pursuing a doctoral degree in any Rackham program, and who have achieved candidacy.","$6,000 for spring/summer research and travel",No specifications,January,Missing data,Faculty/Administration,http://www.rackham.umich.edu/funding/from_rackham/program_nomination_or_allocation/lipschutz_host_smith/,SdlPuwAZZaP,PhD
Rackham/Institute for Research on Women & Gender Women's Studies Funding (University of Michigan Fellowship),"The IRWG/Rackham Graduate Student Research Awards program provides $500 grants to U-M graduate students who are planning or conducting research, scholarship, and creative activities focusing on women and gender.","$1,000",No specifications,November,Missing data,Self-Nominated,http://irwg.umich.edu/funding/irwgrackham-graduate-student-research-awards,rpemRJjf8Mc,Master's/PhD
Richard E. Merwin Student Scholarship,"The scholarship was created in honor of the late Richard E. Merwin, past president of the IEEE Computer Society, to recognize and reward student leadership. It is intended to recognize and reward active student volunteer leaders in student branches or chapters who show promise in their academic and professional efforts. IEEE Computer Society awards $40,000 in student scholarships.","Varies, up to $1000",No specifications,September,Missing data,Self-Nominated,http://usascholarships.com/richard-e-merwin-student-scholarship/,hv1g56SY4pH,Master's/PhD
